Category,Message
Inspection Services,1751 pacific ave --- customer stated there is construction taking place on the balcony of the building of 1751 pacific ave and the customer would like a inspector to come out to make sure they have permits to do the work. (311 sr#11895994)
Other financial service,Fraud or scam
Credit card,Unsolicited issuance of credit card
Other financial service,Excessive fees
Debt collection,False statements or representation
Code Enforcement Section,Vacant storefront
Student loan,Can't repay my loan
Credit card,Identity theft / Fraud / Embezzlement
Debt collection,Disclosure verification of debt
Inspection Services,"Construction has extended into backyard of 2956 webster street.  retaining wall has been damaged at 2956 webster.  construction debris is visible from 2956 webster and should be hidden. complainant wants metal fence to be replaced so backyard not visible, construction that is visible to be finished."
Debt collection,Communication tactics
Consumer Loan,Problems when you are unable to pay
Credit card,Billing disputes
Housing Inspection Services,Possible illegal unit.district 11  sergio salvetti
Bank account or service,"Account opening, closing, or management"
Credit card,Late fee
Credit reporting,Credit reporting company's investigation
Consumer Loan,Taking out the loan or lease
Building Inspection Division,"Commercial building --- the elevator at this commercial building placed there for ada use is not functioning and has not for some time now. earlier submission under sr 12661383 was closed stating not dbi responsibility, but from dbi website &quot;if the elevator serves a commercial property, the department of building inspection, inspection services - building inspection division can investigate complaints for safety reasons and if need be, contact the state of california, department of industrial relations - elevator, unit, as well as issue a notice of violation.&quot; (311 sr#12690706)"
Code Enforcement Section,Vacant storefront
Consumer Loan,Managing the loan or lease
Inspection Services,284 monterey --- patron claims that the roof is being replaced at this location without a permit (311 sr#12672562)
Disabled Access Division,Problems with the wheelchair lift.
Bank account or service,"Account opening, closing, or management"
Building Inspection Division,Date last observed: 02-feb-20;    time last observed: 21:42;    exact location: main bldg;    building type: residence/dwelling   other building; ;    additional information: large structure wraps are loose and very loud in the wind all night long. very loud;
Disabled Access Division,"Retail display aisles less than 12"" wide."
Debt collection,Cont'd attempts collect debt not owed
Debt collection,Communication tactics
Housing Inspection Services,Routine
Consumer Loan,Problems when you are unable to pay
Code Enforcement Section,"Vacant storefront 
2020 registration due 02/15/20"
Building Inspection Division,"It?s 2465 1/2. they are endlessly hammering, and other loud construction noise, off the back balcony of a unit, rather than doing the work inside. i don?t see any permits posted. they start early mostly, even the weekends. there is just no reason to do if outside and broadcast the sound. this has gone on at least a month. (311 sr 12720054)"
Bank account or service,"Account opening, closing, or management"
Disabled Access Division,There is a one step barrier at the entrance of the facility which prevents her from entering it and there also to be an inaccessible restroom.
Student loan,Dealing with my lender or servicer
Building Inspection Division,Car ran into building
Disabled Access Division,When remodeled - installed step at front and made not accessible.
Bank account or service,"Making/receiving payments, sending money"
Consumer Loan,Managing the loan or lease
Department of Bldg Inspection,Leak-water damage to ceiling in livingroom.
Consumer Loan,Managing the loan or lease
Credit card,APR or interest rate
Credit reporting,Incorrect information on credit report
Code Enforcement Section,Vacant storefront
Credit reporting,Incorrect information on credit report
Housing Inspection Services,Routine
Money transfers,Money was not available when promised
Building Inspection Division,Date last observed: 09-dec-19;    time last observed: 10:00 am;    exact location: main bldg;    building type: residence/dwelling   illegal change of use; ;    additional information: horace mann school is being used as a homeless shelter for many months now.;
Consumer Loan,Problems when you are unable to pay
Housing Inspection Services,Painting in the light well of the building next door
Consumer Loan,Problems when you are unable to pay
Bank account or service,Deposits and withdrawals
Bank account or service,"Account opening, closing, or management"
Prepaid card,Fraud or scam
Money transfers,Other transaction issues
Prepaid card,Unauthorized transactions/trans. issues
Debt collection,Communication tactics
Payday loan,Charged bank acct wrong day or amt
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 110141 , serial no a14259236"
Payday loan,Payment to acct not credited
Electrical Inspection Division,Heating system is being installed without electrical permit.  concerned about hazardous wiring.
Other financial service,Excessive fees
Payday loan,Charged fees or interest I didn't expect
Disabled Access Division,Wheelchair lifts is not working for several months.
Credit card,Late fee
Debt collection,False statements or representation
Student loan,Dealing with my lender or servicer
Prepaid card,Unauthorized transactions/trans. issues
Credit card,Credit determination
Consumer Loan,Managing the loan or lease
Student loan,Getting a loan
Code Enforcement Section,Vacant storefront
Consumer Loan,Managing the loan or lease
Other financial service,Unexpected/Other fees
Consumer Loan,Problems when you are unable to pay
Building Inspection Division,Work performed without a permit. side basement unit being worked on with extensive construction. entrance is to the left side of the building. working 5-7 days a week.
Department of Bldg Inspection,"""Fire exit has been blocked-very dangerous."""
Inspection Services,"New roof install at 25 elk street in glen park on a sunday. there are no occupants living in the house currently. very disruptive construction noise. (311 sr#11934618) loud hammering (roof work) prior to 9am on a sunday morning. (311 sr#11932880, #11932901)"
Consumer Loan,Managing the loan or lease
Prepaid card,Unauthorized transactions/trans. issues
Mortgage,"Application, originator, mortgage broker"
Credit reporting,Incorrect information on credit report
Mortgage,"Loan servicing, payments, escrow account"
Bank account or service,"Account opening, closing, or management"
Code Enforcement Section,Vacant storefront
Consumer Loan,Managing the loan or lease
Debt collection,Cont'd attempts collect debt not owed
Payday loan,Received a loan I didn't apply for
Housing Inspection Services,Electrical issues in the bathroom and some outlets.  also can't get in and out front door.  intercom panel may have been changed.
Debt collection,Cont'd attempts collect debt not owed
Credit reporting,Incorrect information on credit report
Disabled Access Division,"There were two steps up the front entrance, as well inadequate aisle and turnaround space for wheelchairs."
Building Inspection Division,"Date last observed: 28-jan-20;    time last observed: saturday jan 18, 2020;    identity of person performing the work: none;    floor: 1,2,3;    unit: 1,2,3;    exact location: main bldg;    building type: residence/dwelling   water intrusion; mold; structural problems; water entering building; ;    additional information: water intrusion from failed caulking of exterior wall;"
Debt collection,Cont'd attempts collect debt not owed
Payday loan,Charged fees or interest I didn't expect
Bank account or service,Deposits and withdrawals
Debt collection,False statements or representation
Money transfers,Fraud or scam
Debt collection,Cont'd attempts collect debt not owed
Payday loan,Charged bank acct wrong day or amt
Money transfers,Wrong amount charged or received
Department of Bldg Inspection,Plumbingwork without a permit.  exposed piping on back of house.
Money transfers,Other transaction issues
Credit reporting,Credit reporting company's investigation
Other financial service,Unexpected/Other fees
Department of Bldg Inspection,Back stairs are rotting and splitting.
Building Inspection Division,"Date last observed: 05-jan-20;    time last observed: 9:00 am;    identity of person performing the work: wayne mufarreh (owner);    floor: ground flo;    unit: ""a"";    exact location: basement;    building type: residence/dwelling   illegal unit; work w/o permit; illegal change of use; work being done in dangerous manner; ;    additional information: (2) pipe asbestos runs in drop ceiling/ no separating wall between other storge area.;"
Housing Inspection Services,Routine inspection
Housing Inspection Services,Homeless people living in condemmed building.  caller claims that the building was condemmed some time ago.
Payday loan,Charged fees or interest I didn't expect
Money transfers,Fraud or scam
Credit card,Bankruptcy
Plumbing Inspection Division,"When the tenant for the 2nd & 3rd floor do laundry, it floods apartment a's laundry and kitchen sink area."
Bank account or service,"Account opening, closing, or management"
Money transfers,Fraud or scam
Money transfers,Fraud or scam
Mortgage,"Loan modification,collection,foreclosure"
Credit reporting,Credit reporting company's investigation
Student loan,Repaying your loan
Housing Inspection Services,Blocked drainage line in bathtub.
Mortgage,"Loan modification,collection,foreclosure"
Credit reporting,Incorrect information on credit report
Credit reporting,Incorrect information on credit report
Debt collection,Communication tactics
Code Enforcement Section,"Vacant buildingam a neighbor to 1068 florida st., and i am growing increasingly concerned for my family's health and safety due to that property. issues that i have observed since the building was illegally demolished in july of 2018 (dbi complaint #201874446):

1. unknown dust and debris from demolition blowing into my yard/home - i don't know if there is lead/asbestos in this property, but it was not properly abated.
2. tarps covering the debris have become tattered.
3. a racoon infestation has begun, and i am now scared to let my dog in my backyard unattended or leave my back door open.

please provide more information on the status of the abatement of this blight. i have filed a 311 request and will be filing a health dept. complaint shortly."
Department of Bldg Inspection,"Debris, hazardous debris hanging from bldg.; garage door broken."
Department of Bldg Inspection,"Continuing problem. leak in bathroom ceiling from floor above. abt. 12/1 landlord caulked tile in bathroom in floor above,then burst bubble which had formed in ceiling of his bathroom. left it open, patched the hole about a week later. water again leaked from bathroom above-informed landlord,no action. water leaked,traveled through wall to livingroom ceiling the week it rained.informed landlord,l.told him not to worry. half hour later water dripped on tv, stereo,etc. in livingroom. landlord patched livingroom ceiling on 12/7/96, and left apt. dirty from construction. still leaking,landlord says will fix next week or after the first of the year. never called plumber to fix the source of the leak."
Other financial service,Customer service/Customer relations
Mortgage,"Loan servicing, payments, escrow account"
Bank account or service,"Account opening, closing, or management"
Housing Inspection Services,Residential hotel inspection
Prepaid card,Fees
Other financial service,Lost or stolen money order
Credit card,Identity theft / Fraud / Embezzlement
Debt collection,Disclosure verification of debt
Building Inspection Division,"Date last observed: 08-dec-19;    time last observed: 12/08/2019;    identity of person performing the work: michael lehr, josh coyle, lanz;    floor: 4th and 3r;    unit: 645;    exact location: main bldg;    building type: residence/dwelling   work w/o permit; dilapidated structure; leaking ceiling; kitchen/bathroom remodel w/o permit; ;    additional information: both shower bathrooms tore out. roof leaking from rain and shower leaks on main stairs. there’s no heat in rooms. 220v wires hanging out of the walls uncovered. back emergency exit stairs are cracked and dangerous no railings roof drain leads to no where and is dry rotting the main wall structure in the back of the building.  ;"
Other financial service,Customer service/Customer relations
Inspection Services,Overhead ahrens bakery sign looks close to falling in sidewalk. (311 sr#11780880)
Mortgage,"Loan modification,collection,foreclosure"
Prepaid card,Fraud or scam
Consumer Loan,Problems when you are unable to pay
Payday loan,Charged fees or interest I didn't expect
Electrical Inspection Division,"Complaint address:  1117 alabama st. (2 units)  work done recently.  believes new work done without permit inside home, without increase in panel size.  deemed unsafe."
Debt collection,Cont'd attempts collect debt not owed
Housing Inspection Services,Smoke detector does not work; rug smells like urine; holes in the walls; fleas mice and cockroaches.
Prepaid card,Fees
Prepaid card,Unauthorized transactions/trans. issues
Other financial service,Fraud or scam
Debt collection,Communication tactics
Debt collection,False statements or representation
Money transfers,Fraud or scam
Disabled Access Division,No elevator access to 2nd floor. stairs are too steep - hard to climb.
Credit card,Identity theft / Fraud / Embezzlement
Debt collection,Improper contact or sharing of info
Bank account or service,"Account opening, closing, or management"
Other financial service,Fraud or scam
Code Enforcement Section,"Vacant storefront
2020 registration due 7/31/20"
Building Inspection Division,"Date last observed: 13-feb-20;    time last observed: 22:00;    identity of person performing the work: ?;    floor: 2, ;    exact location: main bldg;    building type: commercial/business   work w/o permit; ;    additional information: across from men's locker room entrance;"
Debt collection,Communication tactics
Building Inspection Division,Construction in the basement without permits.
Building Inspection Division,"Date last observed: 24-jan-20;    time last observed: rodent infestation in one of t;    floor: 4th (top f;    unit: community ;    exact location: main bldg;    building type: residence/dwelling   insects/rodents; ;    additional information: there is an ongoing rodent infestation in the 4th floor community kitchen at 657 clay street that our management has not addressed. the kitchen is actively used on a daily basis for cooking and cleaning by many tenants, and i fear that if no effective abatement strategy is put into place, there could be a transmission of disease from rodent to humans. the rodents are primarily nested within the 4th floor kitchen lockers, which tenants use to store their cookware and other personal items. fecal matter has been observed around the lockers as well on the floor next to the kitchen oven. according to the cdc, rats and mice serve as a vector for about 35 diseases which can be spread to humans through contact with rodent feces, urine, or saliva. it sho"
Other financial service,Customer service/Customer relations
Building Inspection Division,The building's communal areas. caller states there is a construction project that is happening and the workers are not wearing face masks when inside the building and using the public areas. most concerning is the use of the elevator while not wearing masks and not cleaning the elevator buttons. (311 sr 12720065)
Electrical Inspection Division,"Mr. roland would like to report an unsafe condition at store.  there's an electrical chord taped to the floor (far right aisle), to power some fans & accessories at front of store.  also an extension chord across the floor (front entrance-way) connected to large gumball machine (not taped down)."
Housing Inspection Services,12 broken or cracked windows in apts  1 6 7 8 9 11  and 12 and in hallways  front and back;front and back stairs  cracked & chipped paint;carpets need replacing  cat urine #9 1 4 and 12;  also fleas in these apts and in hall  carpets;ground floor back pi pes with asbestos cracked exposed and falling;  building not painted for 11 years;#12  door frame is loose from wall poor  security.
Student loan,Dealing with my lender or servicer
Debt collection,Cont'd attempts collect debt not owed
Credit card,Billing disputes
Prepaid card,Unauthorized transactions/trans. issues
Credit reporting,Credit reporting company's investigation
Code Enforcement Section,Vacant storefront
Credit reporting,Incorrect information on credit report
Student loan,Can't repay my loan
Other financial service,Fraud or scam
Mortgage,"Loan modification,collection,foreclosure"
Debt collection,Improper contact or sharing of info
Consumer Loan,Problems when you are unable to pay
Other financial service,Fraud or scam
Building Inspection Division,Date last observed: 03-feb-20;    time last observed: 8:00;    identity of person performing the work: unmarked gray van and nissan l;    floor: garage lev;    exact location: main bldg;    building type: residence/dwelling   plumbing installation without permit; work w/o permit; work beyond scope of permit; kitchen/bathroom remodel w/o permit; ;    additional information: also property owner is illegally dumping trash from his home/garage remodel.;
Bank account or service,Problems caused by my funds being low
Code Enforcement Section,Vacant storefront
Prepaid card,Fees
Consumer Loan,Managing the loan or lease
Disabled Access Division,Disabled access violation.
Prepaid card,Unauthorized transactions/trans. issues
Building Inspection Division,Hazardous condition at rear yard  (wooden fence)
Debt collection,Cont'd attempts collect debt not owed
Consumer Loan,Account terms and changes
Inspection Services,"The property at this address is doing plumbing work, plumbing permit pw20200131742 to replace leaking seciton of hot water line in floor to reinstall radiator, which involves building constrution without the benefit of building permit."
Credit reporting,Credit reporting company's investigation
Electrical Inspection Division,Lot of loose wiring and extension cords.  afraid of fire hazard.
Prepaid card,Fraud or scam
Electrical Inspection Division,Door bell doesn't work and the electrical door opener for the whole building (remote door opener) doesn't work.  mail man can not get into the building.
Electrical Inspection Division,Light fixture repaired concern is about safe operation of fixture.  this lady is blind or partially blind.
Debt collection,Cont'd attempts collect debt not owed
Other financial service,Fraud or scam
Disabled Access Division,Illegal landing at entry doors.
Prepaid card,Fees
Prepaid card,Fraud or scam
Student loan,Repaying your loan
Debt collection,Cont'd attempts collect debt not owed
Inspection Services,Water from 335 diamond st's roof is pouring into 333 diamond st's property.
Inspection Services,Caller not sure of address essay to fine the mage construction property at the location it the on to the right of the 3 2 story victorians and the left of the 3 story modern remodel with the wooden skylight at the top. --- caller is reporting there is a lot of construction at the above location and it seems as if the electrical is being tampered with for the adjacent property. caller would like the city to come and make sure this is not the case. (311 sr#12631542)
Building Inspection Division,"Excessive noise at 11 pm on friday january 24, including intermittent loud booming noises of unknown origin. outside of normal construction hours and well above 5 db noise limit. (311 sr 11991595)"
Bank account or service,Deposits and withdrawals
Student loan,Can't repay my loan
Building Inspection Division,"Date last observed: 18-feb-20;    time last observed: 9:35am;    identity of person performing the work: mosser co. is the management c;    exact location: main bldg;    building type: residence/dwelling   disabled acc: elevator/lift;  ;    additional information: elevator has been inoperable for four days. there is a second elevator but it does not work either: goes to the wrong floor, does not come to the right floor when called ;"
Bank account or service,Problems caused by my funds being low
Student loan,Repaying your loan
Inspection Services,"For the last few days the building construction site on bridgeview way, between mission bay blvd. south and warriors way setup a large semi trailer generator that they are running 24 hours a day. so, they are running it all night long. the noise is traveling down bridgeview way to the condos on north mission bay blvd. the generator is way over the 5db limit and runs all night long. thank you frank. sorry, i filed two complains. this one i dragged the pin to the proper location. (311 sr#12073598)  for the last few days the building construction site on bridgeview way, between mission bay blvd. south and warriors way setup a large semi trailer generator that they are running 24 hours a day. so, they are running it all night long. the noise is traveling down bridgeview way to the condos on north mission bay blvd. the generator is way over the 5db limit and runs all night long. thank you frank. (311 sr#12073581)"
Money transfers,Money was not available when promised
Student loan,Repaying your loan
Building Inspection Division,Date last observed: 25-feb-19;    exact location: main bldg;    building type: residence/dwelling   expired permits; disabled acc: elevator/lift;  ;    additional information: the elevator in the building has an expired inspection permit from 2013.  we have a handicap person in the building in a wheelchair as well as a couple with a baby on the way.  ;
Housing Inspection Services,No heat
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109294 , serial no 576055-200704"
Code Enforcement Section,Vacant commercial storefront
Inspection Services,24 hour fitness electrical meters are removed and have been bypassed
Credit reporting,Incorrect information on credit report
Credit card,Billing disputes
Payday loan,Charged fees or interest I didn't expect
Bank account or service,Using a debit or ATM card
Money transfers,Fraud or scam
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 112743 , serial no 1212349284"
Consumer Loan,Shopping for a line of credit
Payday loan,Charged fees or interest I didn't expect
Disabled Access Division,Parking garage does not provide access.
Payday loan,Charged fees or interest I didn't expect
Other financial service,Fraud or scam
Credit card,Delinquent account
Department of Bldg Inspection,"Peninsula heating installed a new furnace with the benefit of a mechanical permit, per owner of the building."
Credit card,Privacy
Bank account or service,"Account opening, closing, or management"
Bank account or service,Deposits and withdrawals
Disabled Access Division,Wheelchair lifts in the lobby is out of service.
Department of Bldg Inspection,Too many tenants living in the bldg.
Payday loan,Charged fees or interest I didn't expect
Money transfers,Other service issues
Consumer Loan,Managing the loan or lease
Debt collection,Cont'd attempts collect debt not owed
Building Inspection Division,Date last observed: 05-aug-20;    time last observed: 737;    identity of person performing the work: unknown;    exact location: rear bldg;    building type: residence/dwelling   work beyond scope of permit; ;    additional information: deck being built out back without it being listed on permit. ;
Debt collection,Cont'd attempts collect debt not owed
Consumer Loan,Problems when you are unable to pay
Housing Inspection Services,Sched rt
Consumer Loan,Shopping for a loan or lease
Inspection Services,Work without permit. building taped up. no permit visible.
Debt collection,Cont'd attempts collect debt not owed
Prepaid card,"Managing, opening, or closing account"
Code Enforcement Section,Vacant storefront
Disabled Access Division,"Multiple violations in restroom - high mirrors, liquid soap dispenser and paper tower are not accessible."
Electrical Inspection Division,An electrical system has been installed on the premises without permits.
Electrical Inspection Division,Receptacles are connected to 110 clinton meter.
Student loan,Problems when you are unable to pay
Plumbing Inspection Division,Water heater installed in upper unit(s) 884-a without permit.
Credit reporting,Incorrect information on credit report
Other financial service,Customer service/Customer relations
Code Enforcement Section,"Vacant storefront
2020 registration due 2/28/20"
Payday loan,Can't contact lender
Payday loan,Charged fees or interest I didn't expect
Credit card,Late fee
Consumer Loan,Managing the loan or lease
Student loan,Repaying your loan
Inspection Services,The noise level every morning at 7 am is way above the allowed decibel level. beginning at 7 am they are what sounds like taking a circular saw to metal. every single morning for months now i am startled awake from this high pitched noise. the noise is so loud i have resorted to sleeping with earplugs in and even then i am startled/ woken up from the noise. multiple neighbors have complained about the noise. there are newborn babies on this block who are constantly being woken up. (311 sr#11748483)
Inspection Services,"I am a disabled tenant, requires wheelchair for mobility.  i was able to walk when i moved into the unit, but now require a wheelchair.  i cannot easily get into the unit because there are 4 steps leading into the unit,  the only way i have been able to leave is by crawling on the floor to my mobility chair in the garage. 
there is a very high grade slope of the floor in the hallway which makes it a very big struggle for me to get my wheelchair to and from my bedroom. the floor in the livingroom is also unlevel so when i transfer from the chair to the couch, my wheelchair will often roll across the livingroom away from me because of the uneven floors. 
lastly, there is a 4ft+ concrete retaining wall facing my bedroom window.  this retaining wall would have to be climbed to escape in case of fire or emergency. so far, the property owner has refused requests to build a small staircase i could at least try to climb in case of fire and emergency. 
request: not necessary to respond in 72hr."
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 110096 , serial no 1411389582"
Housing Inspection Services,Routine inspection
Inspection Services,Fire damage
Bank account or service,"Account opening, closing, or management"
Mortgage,"Loan modification,collection,foreclosure"
Money transfers,Fraud or scam
Credit card,APR or interest rate
Inspection Services,"Building is under construction in off hour all the time!!!
it's 7:20 pm and they are still making noise!
permit has expired more than 6 months ago.
there is construction on everyday of the week including sundays and they often work later than 7 pm! --- 840 shotwell street (311 sr#12102882)"
Prepaid card,"Managing, opening, or closing account"
Credit card,Billing disputes
Inspection Services,Loud generator and stadium lights on 4am please have some consideration and shut these off until daylight  [submitted via https://seeclickfix.com/issues/7423103] (311 sr#12083062)
Consumer Loan,Taking out the loan or lease
Money transfers,Money was not available when promised
Other financial service,Disclosures
Housing Inspection Services,Routine inspection
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 110052 , serial no 706144201406"
Plumbing Inspection Division,"Building installed watering system over sidewalk, wth? i don't see any plants out there as it's designed to illegally keep people from sitting. (311 sr#11895355)"
Inspection Services,"There's a fence taking up the whole sidewalk on both corners. (311 sr#12673919, #12673911, #12673912)"
Money transfers,Other transaction issues
Payday loan,Received a loan I didn't apply for
Debt collection,Cont'd attempts collect debt not owed
Department of Bldg Inspection,"No smoke detector in apt.; poor security at front entrance:  woman was raped in elevator, unknown persons urinate in front entrance; termites; water damage."
Inspection Services,115-117 scott st - exceeding scope of permit 201909192052 - replacing entire rear deck all the way to the property.
Code Enforcement Section,Vacant storefront
Disabled Access Division,"Remodeled no permit, no handicap access @ restroom."
Payday loan,Payment to acct not credited
Plumbing Inspection Division,"Plumbing, electrical, wood work without a permit"
Housing Inspection Services,All walls full of mildew  heater not working properly  only one burner on stove  toilet leaks  kitchen sink leaks.
Other financial service,Disclosures
Department of Bldg Inspection,It appears that the deck is not held properly together(only 2x4's)
Disabled Access Division,There is only one accessible restroom on the 5th floor for the whole medical building and every one gets referred to the restroom on 5th floor
Money transfers,Fraud or scam
Credit reporting,Incorrect information on credit report
Disabled Access Division,Doors too heavy to open.
Consumer Loan,Taking out the loan or lease
Code Enforcement Section,Vacant storefront
Housing Inspection Services,Defective toilet  door  leaking ceiling
Consumer Loan,Managing the loan or lease
Electrical Inspection Division,Install power in illegal attic room without permit.
Other financial service,Customer service/Customer relations
Disabled Access Division,"Portable ramp being used consistently, end of ramp is in the side walk area."
Building Inspection Division,Date last observed: 27-jul-20;    time last observed: 2:50 pm;    floor: 2nd;    unit: 3;    exact location: main bldg;    building type: residence/dwelling   work w/o permit;
Housing Inspection Services,House has no rear exit or stairs. tel: from 4:00pm to 11:00pm - 954 7930  and in morning - 255 2333.
Prepaid card,Unauthorized transactions/trans. issues
Student loan,Can't repay my loan
Credit card,APR or interest rate
Payday loan,Applied for loan/did not receive money
Money transfers,Other transaction issues
Money transfers,Wrong amount charged or received
Debt collection,Taking/threatening an illegal action
Credit reporting,Incorrect information on credit report
Credit reporting,Credit reporting company's investigation
Credit reporting,Credit reporting company's investigation
Code Enforcement Section,Vacant storefront
Housing Inspection Services,"No screen on windows; floors are dirty, laundry room is unkept."
Code Enforcement Section,Vacant storefront
Prepaid card,"Managing, opening, or closing account"
Code Enforcement Section,"Vacant storefront
2020 registration due 8/14/20"
Payday loan,Applied for loan/did not receive money
Consumer Loan,Managing the loan or lease
Consumer Loan,Taking out the loan or lease
Code Enforcement Section,Vacant building
Debt collection,Disclosure verification of debt
Other financial service,Excessive fees
Housing Inspection Services,Routine
Other financial service,Fraud or scam
Debt collection,Communication tactics
Inspection Services,"Unpermitted construction ongoing since 12/02/2019:  breaking up the floor, bringing in sheetrock."
Department of Bldg Inspection,Second means of egress<(windows) is blocked with garbage bins.  tenant moves them and they are put back this has been for 5 years.
Building Inspection Division,The caller stated that the ceiling was leaking brown water from the rain down to the caller's belongings. the caller is afraid that this maybe a health hazard. the whole top floor was flooded. (311 sr 11743810)
Electrical Inspection Division,"It is a 6 units corner apartment building.  the complaintant said that the electricity in the garage - garage door opener and light and switch are hook up to her apt. meter.  and year ago, landlord made her apt. smaller and the apt. next to her, 1758 larkin street, larger but some of the switches are at her apt. which she has to pay for the electricity bill."
Consumer Loan,Managing the loan or lease
Prepaid card,Unauthorized transactions/trans. issues
Electrical Inspection Division,"Hazardous and illegal wiring, 2 illegal flats (out of 3) in residence, 2nd and 3rd doors on the right are the illegal units, middle unit (apt. a) is legal.  hot plugs and naked wiring are exposed and problematic as well."
Disabled Access Division,"Illegal landing at entry door, etc."
Money transfers,Fraud or scam
Mortgage,"Loan modification,collection,foreclosure"
Credit card,Unsolicited issuance of credit card
Prepaid card,"Managing, opening, or closing account"
Student loan,Can't repay my loan
Inspection Services,Warehouse with illegally built structures on the inside. also possible multiple illegal units.  ironman moving is the company that occupies the space.
Electrical Inspection Division,Received shock from new trailer installed next to animal hospital.
Mortgage,"Loan modification,collection,foreclosure"
Disabled Access Division,No accessible entrance (steps at front).
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109634 , serial no 932 095 274 77"
Money transfers,Fraud or scam
Money transfers,Other transaction issues
Disabled Access Division,Work no permit
Building Inspection Division,"Date last observed: 30-nov-19;    time last observed: 11/30/19;    identity of person performing the work: mosser co;    floor: 4th;    unit: 411;    exact location: main bldg;    building type: residence/dwelling   no heat; disabled acc: elevator/lift;  ;    additional information: my heat hasn’t worked for three days, this is a persistent problem. the elevator is permanently broken.;"
Bank account or service,"Making/receiving payments, sending money"
Student loan,Repaying your loan
Bank account or service,"Account opening, closing, or management"
Bank account or service,"Account opening, closing, or management"
Money transfers,Fraud or scam
Consumer Loan,Managing the loan or lease
Student loan,Repaying your loan
Other financial service,Customer service/Customer relations
Building Inspection Division,"Date last observed: 28-jun-19;    time last observed: 5:00 pm;    identity of person performing the work: tenderloin neighborhood develo;    floor: 5th;    unit: 504;    exact location: main bldg;    building type: residence/dwelling   other building; other housing; ;    additional information: tenderloin neighborhood development corporation and i signed a settlement agreement for an eviction., since than tenderloin neighborhood development corporation has reported negatively against me. tenderloin neighborhood development corporation falsified documents and never paid me back for deposit., tenderloin neighborhood development corporation has documented information after the case had been settled, closed and sealed. tenderloin neighborhood development corporation owes me first months rent and deposit. tenderloin neighborhood development corporation reneged on conditions to settlement. tenderloin neighborhood development corporation are slum lords, have been cited numerous times for bui"
Bank account or service,Deposits and withdrawals
Student loan,Dealing with my lender or servicer
Student loan,Problems when you are unable to pay
Credit card,Billing disputes
Prepaid card,"Managing, opening, or closing account"
Housing Inspection Services,Sched rt.
Code Enforcement Section,Vacant storefront
Student loan,Repaying your loan
Code Enforcement Section,"Vacant storefront
2020 registration due 6/19/20"
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 106163 , serial no 02101468"
Other financial service,Lost or stolen check
Disabled Access Division,Toilet rooms on lower level have been closed to the public for 3-4 months.
Building Inspection Division,"Date last observed: 13-feb-20;    time last observed: 12:30pm;    identity of person performing the work: itu construction, inc.;    floor: ground flo;    unit: n/a;    exact location: main bldg;    building type: residence/dwelling   other building; ;    additional information: february 13, 2020, itu poured concrete pavement along 659¿s fence that is pitched and draining onto 659¿s property.  itu is requested to redirect water away from flowing onto 659¿s property. itu have not complied with this request.  ;"
Housing Inspection Services,Routine
Money transfers,Fraud or scam
Debt collection,Communication tactics
Student loan,Repaying your loan
Mortgage,"Loan modification,collection,foreclosure"
Bank account or service,Problems caused by my funds being low
Money transfers,Fraud or scam
Department of Bldg Inspection,Updated report of notice written 12/9/81
Building Inspection Division,"Date last observed: 13-jan-20;    time last observed: jan 13, 2020 2:00pm;    identity of person performing the work: ef gomez cement contractor ;    exact location: none of the above;    building type: residence/dwelling   work w/o permit; work being done in dangerous manner; ;    additional information: i wish to remain anonymous.  sidewalk and driveway demolition. pedestrians forced to walk on bush street to pass. ;"
Mortgage,"Loan servicing, payments, escrow account"
Electrical Inspection Division,"Extremely bright halogen lights put up by 862 owner, facing/beaming towards our windows & patio.  lights do not turn off at night."
Other financial service,Fraud or scam
Consumer Loan,Managing the loan or lease
Money transfers,Money was not available when promised
Money transfers,Other transaction issues
Credit card,APR or interest rate
Payday loan,Received a loan I didn't apply for
Department of Bldg Inspection,Bad smell  is coming out from 6127 geary (indian restaurant) and 6135 geary  (kirin restaurant) and it is going into my property at 524 6th avenue.
Housing Inspection Services,Leak in athroom for 2 1/2 mos.
Prepaid card,Unauthorized transactions/trans. issues
Payday loan,Can't contact lender
Inspection Services,Construction:  1.  cutting metal on the street causing sparks and metal to fly 2.  loud
Credit reporting,Credit reporting company's investigation
Prepaid card,"Managing, opening, or closing account"
Payday loan,Can't contact lender
Other financial service,Lost or stolen check
Bank account or service,Deposits and withdrawals
Disabled Access Division,The primary entrance to the theater is not accessible due to stairs.
Department of Bldg Inspection,No heat.
Money transfers,Money was not available when promised
Student loan,Repaying your loan
Bank account or service,Deposits and withdrawals
Prepaid card,"Managing, opening, or closing account"
Credit card,Credit determination
Prepaid card,Fees
Debt collection,Communication tactics
Credit card,Billing disputes
Building Inspection Division,Construction of a new apartment building without permits.
Mortgage,"Loan modification,collection,foreclosure"
Electrical Inspection Division,Only 1 plug for the entire apartment.  the previous tenant runs extension cord all over the apartment.
